RPT_DT,Latitude,Longitude
12/29/2021,40.80262031,-73.95108757
12/26/2021,40.82423262,-73.90049068
12/28/2021,40.86433665,-73.86160524
12/26/2021,40.56150562,-74.18259563
12/30/2021,40.82193165,-73.8669396
12/28/2021,40.77916808,-73.95478415
12/24/2021,40.69514091,-73.97512595
12/23/2021,40.66961588,-73.77175905
12/22/2021,40.79632454,-73.96871716
12/22/2021,40.83908449,-73.86319371
12/28/2021,40.74387982,-73.86481831
12/26/2021,40.71117142,-73.95238829
12/29/2021,40.77201872,-73.74601638
12/27/2021,40.82908897,-73.94208147
12/27/2021,40.80217623,-73.91441898
12/29/2021,40.80101247,-73.94621627
12/26/2021,40.52178314,-74.21698449
12/31/2021,40.7486008,-73.88504849
12/24/2021,40.70419471,-73.78170693
12/30/2021,40.6752129,-73.96162863
12/29/2021,40.86472467,-73.89068301
12/26/2021,40.77011242,-73.98200797
12/30/2021,40.6451813,-73.97929219
12/29/2021,40.69519898,-73.95084903
12/28/2021,40.74431259,-73.95481863
12/22/2021,40.66689566,-73.98158162
12/24/2021,40.83030714,-73.89786902
12/23/2021,40.75853264,-73.92707986
12/24/2021,40.69202395,-73.8284593
12/31/2021,40.60583714,-74.08627578
12/31/2021,40.68676787,-73.78448632
12/30/2021,40.75393894,-73.99484365
12/31/2021,40.60974776,-73.95605139
12/24/2021,40.68123144,-73.98046358
12/29/2021,40.59302197,-73.97908872
12/27/2021,40.6214156,-74.0800785
12/27/2021,40.83886177,-73.91030606
12/29/2021,40.85501744,-73.88307522
12/27/2021,40.67016824,-73.91572749
12/28/2021,40.75656759,-73.87593153
12/23/2021,40.71452952,-73.99099056
12/22/2021,40.69086638,-73.98584806
12/27/2021,40.64305041,-73.9963296
12/26/2021,40.6349018,-74.14384146
12/31/2021,40.67656827,-73.79194599
12/29/2021,40.83645658,-73.90252145
12/26/2021,40.67725891,-73.82604211
12/27/2021,40.75397126,-73.98697882
12/27/2021,40.5977406,-73.93558801
12/31/2021,40.70250729,-73.81496169
12/30/2021,40.83345189,-73.88004509
12/26/2021,40.60084181,-74.07420565
12/22/2021,40.68217162,-73.80847774
12/23/2021,40.88179186,-73.86534795
